Review,Sentiment
So there is no way for me to plug it in here in the US unless I go by a converter.,1
Good casez Excellent va,1
Great for the jawbone.,1
Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,1
The mic is great.,1
I have to jiggle the plug to get it to line up right to get decent volume.,1
If you are Razr owner...you must have this!,1
What a waste of money and time!.,1
And the sound quality is great.,1
He was very impressed when going from the original battery to the extended battery.,1
If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.,1
Very good quality though,1
Highly recommend for any one who has a blue tooth phone.,1
I advise EVERYONE DO NOT BE FOOLED!,1
So Far So Good!.,1
Works great!.,1
It clicks into place in a way that makes you wonder how long that mechanism would last.,1
I bought this to use with my Kindle Fire and absolutely loved it!,1
The commercials are the most misleading.,1
I have yet to run this new battery below two bars and that's three days without charging.,1
I bought it for my mother and she had a problem with the battery.,1
Great Pocket PC / phone combination.,1
I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.,1
I didn't think that the instructions provided were helpful to me.,1
People couldnt hear me talk and I had to pull out the earphone and talk on the phone.,1
Doesn't hold charge.,1
This product is ideal for people like me whose ears are very sensitive.,1
It is unusable in a moving car at freeway speed.,1
I have two more years left in this contract and I hate this phone.,1
Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended,1
You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.,1
It has kept up very well.,1
Poor Talk Time Performance.,1
The case is great and works fine with the 680.,1
worthless product.,1
I was not impressed by this product.,1
Nice headset priced right.,1
I only hear garbage for audio.,1
Excellent bluetooth headset.,1
It has all the features I want,1
Who in their right mind is gonna buy this battery?.,1
AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.,1
This case seems well made.,1
Disappointed with battery.,1
Not loud enough and doesn't turn on like it should.,1
good protection and does not make phone too bulky.,1
A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.,1
This phone is pretty sturdy and I've never had any large problems with it.,1
I love this thing!,1
Everything about it is fine and reasonable for the price i.e.,1
VERY DISAPPOINTED.,1
I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,1
I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.,1
The buttons for on and off are bad.,1
Essentially you can forget Microsoft's tech support.,1
These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.,1
Buy a different phone - but not this.,1
You have to hold the phone at a particular angle for the other party to hear you clearly.,1
The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.,1
It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.,1
Great for iPODs too.,1
This device is great in several situations:1.),1
Mic Doesn't work.,1
Great choice!,1
Nice docking station for home or work.,1
This is a beautiful phone.,1
Love this product.,1
Do Not Buy for D807...wrongly advertised for D807.,1
This is a great little item.,1
I purchased this and within 2 days it was no longer working!!!!!!!!!,1
I wear it everyday and it holds up very well.,1
Not a good bargain.,1
The battery runs down quickly.,1
The headsets are easy to use and everyone loves them.,1
This phone works great.,1
The construction of the headsets is poor.,1
Product was excellent and works better than the verizon one and Boy was it cheaper!,1
The phone loads super!,1
Made very sturdy.,1
Worked great!.,1
The ear buds only play music in one ear.,1
Dont waste your money...,1
Will order from them again!,1
If you plan to use this in a car forget about it.,1
I found this product to be waaay too big.,1
Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.,1
I'm very disappointed with my decision.,1
Integrated seamlessly with the Motorola RAZR phone.,1
Definitely a bargain.,1
The price was very good and with the free shipping and all it was a good purchase.,1
I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.,1
I purcashed this for the car charger and it does not work.,1
This phone is slim and light and the display is beautiful.,1
its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.,1
Absolutely great.,1
The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.,1
i got this phone around the end of may and i'm completely unhappy with it.,1
It is very comfortable on the ear.,1
It has been a winner for us.,1
)Setup couldn't have been simpler.,1
I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.,1
